Team,Adonis,adonis_choice,Chester,chester_choice,Jake,jake_choice,Jenelle,jenelle_choice,Mary,mary_choice,Mike,mike_choice,Phil,phil_choice,Ryan,ryan_choice,expected,prob
Atlanta Hawks,6,UNDER,15,OVER,10,UNDER,6,UNDER,10,OVER,14,OVER,15,OVER,13,OVER,,
Boston Celtics,12,OVER,9,UNDER,11,OVER,7,OVER,13,OVER,9,OVER,11,OVER,12,OVER,,
Brooklyn Nets,6,UNDER,11,UNDER,6,UNDER,15,UNDER,8,OVER,12,UNDER,11,OVER,13,OVER,,
Charlotte Hornets,11,UNDER,12,OVER,7,UNDER,13,UNDER,8,UNDER,11,OVER,12,UNDER,10,UNDER,,
Chicago Bulls,10,OVER,15,OVER,15,OVER,14,OVER,12,OVER,15,OVER,13,OVER,15,OVER,,
Cleveland Cavaliers,14,UNDER,10,OVER,13,UNDER,10,OVER,15,OVER,11,OVER,12,UNDER,8,UNDER,,
Detroit Pistons,14,UNDER,13,OVER,9,UNDER,9,UNDER,7,UNDER,7,OVER,10,OVER,7,OVER,,
Indiana Pacers,7,OVER,14,OVER,15,OVER,14,OVER,14,OVER,10,OVER,10,UNDER,11,OVER,,
Miami Heat,12,OVER,12,OVER,9,OVER,8,OVER,15,OVER,9,OVER,8,UNDER,10,UNDER,,
Milwaukee Bucks,12,OVER,12,UNDER,6,OVER,14,UNDER,14,OVER,12,UNDER,6,UNDER,12,UNDER,,
New York Knicks,10,UNDER,13,OVER,7,OVER,11,UNDER,9,UNDER,7,OVER,7,UNDER,15,OVER,,
Orlando Magic,15,UNDER,7,UNDER,8,UNDER,6,OVER,6,OVER,6,UNDER,10,UNDER,9,UNDER,,
Philadelphia 76ers,7,OVER,6,OVER,15,UNDER,6,OVER,9,UNDER,14,UNDER,9,OVER,14,OVER,,
Toronto Raptors,8,UNDER,14,OVER,7,UNDER,7,OVER,11,UNDER,15,OVER,7,OVER,11,UNDER,,
Washington Wizards,14,OVER,14,UNDER,13,UNDER,13,UNDER,12,OVER,11,OVER,14,OVER,9,UNDER,,
Dallas Mavericks,6,UNDER,15,OVER,8,UNDER,7,OVER,10,OVER,13,UNDER,14,UNDER,14,OVER,,
Denver Nuggets,13,OVER,7,UNDER,11,OVER,13,UNDER,8,OVER,15,UNDER,7,OVER,14,UNDER,,
Golden State Warriors,11,OVER,8,UNDER,11,OVER,9,UNDER,15,OVER,12,UNDER,12,UNDER,10,OVER,,
Houston Rockets,15,UNDER,7,UNDER,14,OVER,15,OVER,7,UNDER,6,UNDER,15,OVER,6,OVER,,
Los Angeles Clippers,7,UNDER,9,UNDER,9,OVER,10,OVER,6,UNDER,8,UNDER,15,OVER,8,UNDER,,
Los Angeles Lakers,13,OVER,8,UNDER,6,OVER,8,OVER,11,OVER,13,UNDER,6,UNDER,15,OVER,,
Memphis Grizzlies,11,OVER,13,OVER,10,UNDER,8,UNDER,11,OVER,10,UNDER,6,OVER,6,UNDER,,
Minnesota Timberwolves,9,UNDER,10,OVER,13,OVER,12,UNDER,13,UNDER,7,OVER,9,UNDER,7,OVER,,
New Orleans Pelicans,8,UNDER,8,OVER,14,OVER,11,OVER,10,UNDER,9,UNDER,11,UNDER,6,OVER,,
Oklahoma City Thunder,10,UNDER,6,UNDER,10,UNDER,10,OVER,7,UNDER,6,UNDER,13,UNDER,7,UNDER,,
Phoenix Suns,9,UNDER,9,UNDER,12,OVER,11,OVER,14,OVER,13,OVER,14,OVER,13,UNDER,,
Portland Trail Blazers,9,OVER,6,UNDER,8,OVER,12,OVER,9,UNDER,10,UNDER,13,UNDER,14,OVER,,
Sacramento Kings,15,UNDER,11,UNDER,12,UNDER,9,UNDER,6,UNDER,8,OVER,8,UNDER,9,UNDER,,
San Antonio Spurs,13,UNDER,11,OVER,14,UNDER,12,UNDER,12,OVER,8,UNDER,8,OVER,8,UNDER,,
Utah Jazz,8,UNDER,10,UNDER,12,OVER,15,UNDER,13,OVER,14,UNDER,9,OVER,11,OVER,,
